"Веса (events, search, view, click, cart)",STD (Меньше = Лучше),n_cart Change %,reached_cart Change %
"3, 2, 1, 1, 3",0.008756014678270195,-22.47157059904163,-1.3651821462923046
"3, 3, 1, 2, 1",0.00876067323770111,-22.374705950871853,-1.364948296393584
"2, 1, 1, 1, 3",0.008763248887509836,-22.47280327859715,-1.3652874025641208
"2, 1, 1, 1, 1",0.008767847664078642,-22.284806723812707,-1.3651967915476488
"1, 2, 2, 3, 2",0.008776403929041858,-22.280552003127628,-1.3650389073053915
"2, 2, 3, 2, 1",0.008776581262383653,-22.105411461335382,-1.3648050575518922
"3, 2, 1, 2, 1",0.0087845668697244,-22.332979211720026,-1.3650915353456088
"3, 2, 1, 1, 2",0.008785159135297552,-22.40121988628158,-1.3652874025641208
"3, 3, 3, 1, 2",0.008786290009537734,-22.23399717719784,-1.3650389073053915
"1, 3, 1, 3, 3",0.008799606213327557,-22.703789102031813,-1.3651967915476488
"3, 1, 3, 2, 3",0.008808714702468981,-22.216083946196825,-1.3651588086580986
"2, 3, 2, 3, 1",0.008811037399516063,-22.249446741655436,-1.3647377847776012
"2, 1, 2, 1, 2",0.008814222919968445,-22.234411489268727,-1.3650915353456088
"1, 1, 1, 3, 3",0.008825420456003383,-22.540665394212834,-1.3649716342350415
"1, 3, 1, 2, 1",0.008827253948270965,-22.45480416252539,-1.365000924398913
"3, 1, 1, 1, 2",0.008832690661228498,-22.355270814273737,-1.3652874025641208
"3, 1, 2, 2, 3",0.008833381203803897,-22.30316451009375,-1.3652494197094718
"1, 2, 2, 1, 1",0.008834033758789103,-22.17770793177334,-1.365000924398913
"1, 2, 2, 3, 3",0.00883465199544693,-22.37828414003958,-1.364986279305692
"2, 2, 1, 3, 2",0.008840446291949116,-22.432667257265535,-1.364948296393584
"2, 2, 2, 3, 2",0.00884146235445005,-22.282635905182655,-1.364986279305692
"2, 2, 1, 1, 1",0.00885100555185857,-22.344850431752175,-1.3648430405045309
"2, 2, 2, 2, 1",0.00885103210317493,-22.19697260194806,-1.3650915353456088
"3, 2, 1, 3, 1",0.008860589010674854,-22.332294751690892,-1.364986279305692
"3, 2, 1, 3, 3",0.008864117440736048,-22.466035541095238,-1.3652874025641208
"3, 1, 1, 3, 2",0.00887242298466754,-22.355318022939873,-1.3651441634263568
"2, 2, 2, 2, 3",0.008874274036755605,-22.355881339904,-1.3653400307608448
"2, 1, 1, 2, 3",0.008883259313611499,-22.47140804326157,-1.3652347744079407
"1, 1, 1, 3, 1",0.00888619667050953,-22.26672446665109,-1.3649336513465362
"3, 3, 3, 2, 3",0.00888674203830116,-22.28964164625652,-1.3651967915476488
"1, 3, 1, 2, 3",0.008890346326487756,-22.709886095909464,-1.3646178844427754
"1, 1, 2, 1, 3",0.0088926395744311,-22.321541749110786,-1.3652874025641208
"1, 3, 3, 2, 2",0.008899144036611252,-22.201949538591144,-1.3651967915476488
"3, 1, 1, 3, 1",0.00889925258535626,-22.27345505425212,-1.3647757677122672
"3, 3, 3, 1, 3",0.008900640763147338,-22.289653185450902,-1.3651967915476488
"1, 2, 1, 3, 3",0.00890252752076646,-22.622938787800148,-1.3652494197094718
"3, 2, 3, 3, 1",0.008907643087423233,-22.138622439852064,-1.365106180531177
"1, 3, 2, 3, 2",0.008913724550843768,-22.348184694290907,-1.3651588086580986
"3, 2, 3, 2, 3",0.008915420617616505,-22.25573263334316,-1.3652494197094718
"1, 3, 2, 1, 3",0.008915902791723157,-22.439992944760483,-1.3648283955498304
"2, 3, 1, 2, 1",0.008922195922888926,-22.405334641704787,-1.365053552444773
"2, 2, 2, 1, 3",0.008932590617152932,-22.358572074500994,-1.3652347744079407
"2, 1, 1, 3, 2",0.008936557128717834,-22.37130921256936,-1.3646705121587464
"3, 3, 2, 2, 3",0.008942037671449287,-22.376592606972867,-1.365129518217186
"3, 3, 2, 1, 3",0.008943448342252735,-22.377125004932054,-1.3653400307608448
"3, 1, 2, 1, 3",0.008945700751985615,-22.30216167215519,-1.3651967915476488
"1, 1, 3, 1, 1",0.00894725023558285,-22.0141676421635,-1.3647817195000216
"2, 1, 1, 1, 2",0.008947311919816386,-22.377682016306338,-1.3651821462923046
"3, 2, 1, 3, 2",0.00894768595160273,-22.396345612746924,-1.3651441634263568
"2, 2, 3, 2, 2",0.008948360703781622,-22.170482001260712,-1.3648430405045309
"1, 2, 1, 3, 1",0.008955767864450207,-22.36432331226222,-1.365106180531177
"2, 3, 3, 2, 3",0.008961489716991537,-22.28976750026345,-1.3652494197094718
"2, 1, 1, 3, 1",0.008964844379447641,-22.272919566982388,-1.3647231399152349
"3, 2, 3, 2, 2",0.00896521829657093,-22.190012242008493,-1.3651967915476488
"1, 3, 3, 3, 1",0.008966403514900984,-22.119481201793338,-1.365000924398913
"1, 2, 3, 3, 1",0.008966705386885427,-22.05700228196045,-1.3648197025055346
"1, 2, 2, 1, 2",0.008967024335889983,-22.286785317449155,-1.3649336513465362
"1, 2, 2, 3, 1",0.008972444383603638,-22.168695827906046,-1.3650915353456088
"1, 3, 3, 2, 3",0.008972896169833568,-22.2886539675773,-1.3652494197094718
"2, 2, 1, 1, 3",0.008978397062647784,-22.527438551195715,-1.3650389073053915
"1, 3, 2, 2, 2",0.008992277881707537,-22.34843278706554,-1.3651588086580986
"3, 3, 2, 1, 1",0.008996435513495295,-22.267845193652207,-1.3651441634263568
"2, 2, 1, 3, 3",0.009007666284595064,-22.508897072747608,-1.3649336513465362
"1, 1, 3, 2, 1",0.009023447547530815,-22.00905815147911,-1.3647670745699947
"1, 3, 1, 3, 2",0.009024884193132243,-22.567239127182457,-1.3649336513465362
"3, 1, 2, 2, 1",0.009025080055858954,-22.168248197487543,-1.3651588086580986
"3, 1, 1, 1, 3",0.009028577275937836,-22.42287151843108,-1.3650768901825985
"1, 3, 2, 2, 1",0.009029475344661163,-22.246959259873336,-1.3649629414631892
"1, 1, 1, 1, 3",0.009030213097304514,-22.55880496586117,-1.3649716342350415
"2, 3, 3, 3, 1",0.009031596195571959,-22.150852855266038,-1.3652494197094718
"3, 1, 3, 2, 1",0.009032113932279661,-22.093749964242523,-1.3645945462375983
"3, 3, 1, 1, 2",0.009033973324692558,-22.43920895333634,-1.3650915353456088
"1, 3, 3, 1, 3",0.009036585483893866,-22.289715190028204,-1.3650768901825985
"2, 2, 3, 1, 3",0.009037523646844065,-22.24595535034917,-1.3651441634263568
"2, 3, 2, 3, 2",0.00904221158301825,-22.334380162806312,-1.3651441634263568
"2, 3, 1, 3, 1",0.009044538085593365,-22.39839174835776,-1.3651588086580986
"1, 1, 1, 1, 1",0.00904896826359175,-22.28446955509272,-1.3650389073053915
"2, 3, 1, 3, 3",0.009058416833631977,-22.56451685388021,-1.3648810234279114
"3, 2, 3, 3, 3",0.009059219230927628,-22.254244076695347,-1.3652494197094718
"2, 2, 3, 1, 2",0.00906179149456527,-22.175971284357175,-1.365000924398913
"1, 1, 2, 3, 1",0.009063356224873715,-22.095141603361924,-1.3651588086580986
"3, 1, 1, 2, 3",0.009064919316159338,-22.41989338384769,-1.365129518217186
"1, 1, 1, 2, 2",0.009068112811410315,-22.423994537268438,-1.3651821462923046
"1, 2, 3, 2, 2",0.009072844865581365,-22.150661211684174,-1.364948296393584
"2, 3, 1, 3, 2",0.00907550999525409,-22.488974459096607,-1.3652494197094718
"3, 2, 1, 2, 2",0.009080383773363308,-22.40000190508512,-1.3650242621885547
"1, 3, 1, 3, 1",0.009082259471197203,-22.444110390662093,-1.3647524296625126
"1, 2, 3, 3, 2",0.00908557977386498,-22.14718328063591,-1.364986279305692
"3, 1, 2, 3, 2",0.009087810992946501,-22.238318600499547,-1.3650389073053915
"1, 1, 3, 3, 1",0.009089536048393477,-22.006960232014443,-1.36492495849822
"1, 2, 2, 1, 3",0.009089805231858766,-22.379530927886073,-1.3653400307608448
"1, 3, 2, 3, 3",0.009092507870299863,-22.43973296689528,-1.3651441634263568
"3, 3, 2, 3, 2",0.009094242367179907,-22.329175988146503,-1.3651441634263568
